variant,motif,feature_idx,graph_id,graph_idx,num_edges,num_motif_edges,motif_ratio,gnn_auroc,sae_auroc,gnn_auprc,sae_auprc
jumprelu,in_feedback_loop,345,4014,14,29,10,0.3448275862068966,0.5421052631578948,0.4368421052631579,0.4138939603070038,0.34717432950191573
jumprelu,in_feedback_loop,345,4015,15,18,6,0.3333333333333333,0.8055555555555556,0.8194444444444445,0.7027777777777777,0.6188492063492064
jumprelu,in_feedback_loop,345,4016,16,25,10,0.4,0.54,0.4266666666666667,0.43546083818142645,0.4508333333333333
jumprelu,in_feedback_loop,345,4017,17,27,8,0.2962962962962963,0.6578947368421053,0.5,0.4193253304666348,0.2962962962962963
jumprelu,in_feedback_loop,345,4018,18,22,10,0.45454545454545453,0.4666666666666666,0.39999999999999997,0.45363636363636367,0.41106060606060607
jumprelu,in_feedback_loop,345,4019,19,22,6,0.2727272727272727,0.7812500000000001,0.4375,0.4930555555555556,0.2727272727272727
jumprelu,in_feedforward_loop,443,4000,0,25,19,0.76,0.5087719298245614,0.7105263157894737,0.8036748264318738,0.8515739755148259
jumprelu,in_feedforward_loop,443,4001,1,29,28,0.9655172413793104,0.6785714285714286,0.25,0.9871382737523774,0.9559033662271783
jumprelu,in_feedforward_loop,443,4002,2,31,27,0.8709677419354839,0.21296296296296297,0.6203703703703705,0.7906825512500675,0.9248927334197474
jumprelu,in_feedforward_loop,443,4003,3,26,24,0.9230769230769231,0.3125,0.5,0.9165783778871005,0.9022303750722364
jumprelu,in_feedforward_loop,443,4004,4,19,15,0.7894736842105263,0.35,0.5,0.7113032581453633,0.8064973428131323
jumprelu,in_feedforward_loop,443,4005,5,28,25,0.8928571428571429,0.13333333333333333,0.7733333333333334,0.7954537610383215,0.9716106151666793
jumprelu,in_feedforward_loop,443,4006,6,24,23,0.9583333333333334,0.34782608695652173,0.5652173913043478,0.9663372859025032,0.9777024349022598
jumprelu,in_feedforward_loop,443,4007,7,22,16,0.7272727272727273,0.5,0.44791666666666663,0.7272727272727273,0.7244369209007365
jumprelu,in_feedforward_loop,443,4008,8,21,15,0.7142857142857143,0.31666666666666665,0.48888888888888893,0.6857142857142857,0.7101388263152969
jumprelu,in_feedforward_loop,443,4009,9,24,19,0.7916666666666666,0.731578947368421,0.7157894736842105,0.9070893588695443,0.9125100208935959
jumprelu,in_feedforward_loop,443,4010,10,26,20,0.7692307692307693,0.375,0.7208333333333333,0.7369560120392165,0.8856292948948421
jumprelu,in_feedforward_loop,443,4011,11,28,27,0.9642857142857143,0.2222222222222222,0.8888888888888888,0.950731707702251,0.996031746031746
jumprelu,in_feedforward_loop,443,4012,12,22,12,0.5454545454545454,0.5249999999999999,0.5166666666666667,0.5430325393560688,0.6089573559968298
jumprelu,in_feedforward_loop,443,4013,13,30,29,0.9666666666666667,0.10344827586206896,0.896551724137931,0.9341205388862172,0.9964299869769546
jumprelu,in_feedforward_loop,443,4014,14,29,26,0.896551724137931,0.7948717948717949,0.7435897435897436,0.9745287231394582,0.9689097081893395
jumprelu,in_feedforward_loop,443,4015,15,18,11,0.6111111111111112,0.48701298701298706,0.2857142857142857,0.670477502295684,0.5309667530924216
jumprelu,in_feedforward_loop,443,4016,16,25,20,0.8,0.6499999999999999,0.74,0.8907833293727258,0.9022825180476782
jumprelu,in_feedforward_loop,443,4017,17,27,21,0.7777777777777778,0.4285714285714286,0.5873015873015873,0.7554231679176394,0.8681334679087214
jumprelu,in_feedforward_loop,443,4019,18,22,17,0.7727272727272727,0.6941176470588235,0.6588235294117646,0.8868397941927355,0.8638468893659206
jumprelu,in_feedforward_loop,443,4021,19,33,32,0.9696969696969697,0.53125,0.46875,0.9814471828892739,0.9778728364840451
jumprelu,in_single_input_module,345,4003,0,26,3,0.11538461538461539,0.38405797101449274,0.5,0.23687423687423687,0.11538461538461539
jumprelu,in_single_input_module,345,4004,1,19,4,0.21052631578947367,0.5833333333333333,0.45000000000000007,0.43859649122807015,0.24365721997300943
jumprelu,in_single_input_module,345,4005,2,28,4,0.14285714285714285,0.65625,0.5729166666666666,0.4788961038961039,0.251984126984127
jumprelu,in_single_input_module,345,4006,3,24,5,0.20833333333333334,0.5421052631578948,0.5,0.325,0.20833333333333334
jumprelu,in_single_input_module,345,4007,4,22,5,0.22727272727272727,0.5,0.5176470588235295,0.22727272727272727,0.38424242424242416
jumprelu,in_single_input_module,345,4008,5,21,4,0.19047619047619047,0.3529411764705882,0.5,0.19047619047619047,0.19047619047619047
jumprelu,in_single_input_module,345,4009,6,24,6,0.25,0.6111111111111112,0.5740740740740741,0.4549237312395207,0.41666666666666663
jumprelu,in_single_input_module,345,4011,7,28,4,0.14285714285714285,0.5,0.39583333333333337,0.14285714285714285,0.14047619047619048
